work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id
2024,Senior-level,Full-time,Research Engineer,530000,US,0,US,Medium (51–500 employees),97802
2024,Senior-level,Full-time,Engineer,183000,US,0,US,Medium (51–500 employees),97808
2024,Senior-level,Full-time,Technical Specialist,219100,CA,0,CA,Medium (51–500 employees),97810
2024,Senior-level,Full-time,Technical Specialist,121800,CA,0,CA,Medium (51–500 employees),97811
2024,Mid-level,Full-time,Business Intelligence,90000,US,0,US,Medium (51–500 employees),97814
2024,Senior-level,Full-time,Data Analyst,94400,US,0,US,Medium (51–500 employees),97824
2024,Mid-level,Full-time,Data Engineer,237050,US,0,US,Medium (51–500 employees),97830
2024,Senior-level,Full-time,BI Developer,82471,US,100,US,Medium (51–500 employees),84754
2024,Mid-level,Full-time,Data Engineer,167200,US,0,US,Medium (51–500 employees),84757
2024,Mid-level,Full-time,Data Engineer,83600,US,0,US,Medium (51–500 employees),84758
2024,Mid-level,Full-time,Associate,210000,US,0,US,Medium (51–500 employees),84839
2024,Mid-level,Full-time,Engineer,74000,US,0,US,Medium (51–500 employees),84841
2024,Mid-level,Full-time,Engineer,54000,US,0,US,Medium (51–500 employees),84842
2024,Senior-level,Full-time,Software Engineer,270000,US,100,US,Medium (51–500 employees),84845
2024,Senior-level,Full-time,DevOps Engineer,157850,US,0,US,Medium (51–500 employees),84925
2024,Senior-level,Full-time,DevOps Engineer,104800,US,0,US,Medium (51–500 employees),84926
2024,Senior-level,Full-time,Lead Engineer,157850,US,0,US,Medium (51–500 employees),84927
2024,Senior-level,Full-time,Lead Engineer,104800,US,0,US,Medium (51–500 employees),84928
2024,Mid-level,Full-time,Engineer,86950,US,0,US,Medium (51–500 employees),84929
2024,Mid-level,Full-time,Engineer,48100,US,0,US,Medium (51–500 employees),84930
2024,Senior-level,Full-time,Software Development Engineer,277000,US,0,US,Medium (51–500 employees),84933
2024,Senior-level,Full-time,Software Development Engineer,173000,US,0,US,Medium (51–500 employees),84934
2024,Junior,Full-time,Research Analyst,135000,US,0,US,Medium (51–500 employees),84935
2024,Junior,Full-time,Research Analyst,125000,US,0,US,Medium (51–500 employees),84936
2024,Senior-level,Full-time,DevOps Engineer,327750,US,0,US,Medium (51–500 employees),84937
2024,Senior-level,Full-time,DevOps Engineer,164000,US,0,US,Medium (51–500 employees),84938
2024,Mid-level,Full-time,Manager,130104,AU,0,AU,Medium (51–500 employees),85104
2024,Junior,Full-time,Data Analyst,115000,CA,100,CA,Medium (51–500 employees),85105
2024,Junior,Full-time,Data Analyst,85000,CA,100,CA,Medium (51–500 employees),85106
2024,Mid-level,Full-time,Data Scientist,121600,AU,0,AU,Medium (51–500 employees),97834
2024,Mid-level,Full-time,Data Scientist,112377,AU,0,AU,Medium (51–500 employees),97835
2024,Mid-level,Full-time,Data Scientist,96250,US,0,US,Medium (51–500 employees),97836
2024,Senior-level,Full-time,Data Scientist,124080,US,0,US,Medium (51–500 employees),97838
2024,Senior-level,Full-time,Data Scientist,99100,US,0,US,Medium (51–500 employees),97839
2024,Senior-level,Full-time,Data Scientist,114375,US,0,US,Medium (51–500 employees),97840
2024,Mid-level,Full-time,Data Integration Specialist,105000,US,100,US,Medium (51–500 employees),97842
2024,Mid-level,Full-time,Data Integration Specialist,80000,US,100,US,Medium (51–500 employees),97843
2024,Junior,Full-time,Data Integration Engineer,170000,US,0,US,Medium (51–500 employees),97844
2024,Junior,Full-time,Data Integration Engineer,150000,US,0,US,Medium (51–500 employees),97845
2024,Mid-level,Full-time,Data Developer,120000,US,0,US,Medium (51–500 employees),97848
2024,Mid-level,Full-time,Data Developer,75000,US,0,US,Medium (51–500 employees),97849
2024,Mid-level,Full-time,Associate,103100,US,0,US,Medium (51–500 employees),97854
2024,Mid-level,Full-time,Manager,85000,US,100,US,Medium (51–500 employees),97857
2024,Junior,Full-time,Data Analyst,128250,US,0,US,Medium (51–500 employees),97859
2024,Senior-level,Full-time,Data Scientist,118450,US,0,US,Medium (51–500 employees),97869
2024,Junior,Full-time,Data Scientist,157200,US,0,US,Medium (51–500 employees),97870
2024,Senior-level,Full-time,Data Architect,175000,US,100,US,Medium (51–500 employees),97872
2024,Mid-level,Full-time,Full Stack Engineer,225000,US,100,US,Medium (51–500 employees),97878
2024,Mid-level,Full-time,Full Stack Engineer,150000,US,100,US,Medium (51–500 employees),97879
2024,Mid-level,Full-time,Data Analyst,219200,US,0,US,Medium (51–500 employees),97880
2024,Mid-level,Full-time,Data Analyst,103800,US,0,US,Medium (51–500 employees),97881
2024,Mid-level,Full-time,Manager,267000,US,0,US,Medium (51–500 employees),97886
2024,Senior-level,Full-time,Engineer,181000,US,0,US,Medium (51–500 employees),97889
2024,Mid-level,Full-time,Manager,360200,US,0,US,Medium (51–500 employees),97890
2024,Mid-level,Full-time,Manager,208300,US,0,US,Medium (51–500 employees),97891
2024,Senior-level,Full-time,Software Engineer,105500,US,0,US,Medium (51–500 employees),97893
